ID,Name,Description,Type,Category,Subcategory,Category ID,Subcategory ID,Markup Type,Unit,Default Quantity,PC/PS,Low Limit Pricing Threshold,High Limit Pricing Threshold,Maximum Limit Pricing Threshold,Tax %,Markup,Buy Cost,Use zone default buy cost,Unit Cost,Use zone default unit cost,Description Locked,Markup Locked,Qty Locked,Buy Locked,Unit Locked,Enabled,Archived,Tags
7970715f-06b5-44aa-b9a0-75cdcd0f891e,Wall Cladding - Weatherboard / Components - Timber,"Timber weatherboard material and components, fixings.",Material,Carpentry,,,,Percentage,M2,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Plywood and Board
e91277c2-7ba4-41ee-bb52-804259a6868f,Wall Cladding - Weatherboard / Components - Vinyl,"Vinyl weatherboard material and components, fixings.",Material,Carpentry,,,,Percentage,M2,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Plywood and Board
e554ff10-7e0c-44ba-9bd6-a2270536deba,Wall Framing Steel - Removal / Installation - Lm,"Removal of associated wall framing, installation of new associated to event damage related.",Labour,Carpentry,,,,Percentage,LM,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
a8e94e2e-4875-48ec-97b1-ab5efd80ba64,Wall Framing Timber - Removal / Installation - Lm,"Removal of associated wall framing, installation of new.",Labour,Carpentry,,,,Percentage,LM,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
7a4f8c41-a893-461c-ab0b-a6ca2a858422,Wall Framing Timber - Removal / Installation - m2,"Removal of associated wall framing, installation of new, associated to a replacement.",Labour,Carpentry,,,,Percentage,M2,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
6809063c-afc3-47cc-94c7-9ae0cb92f462,Wall Tiles / Linings - Removal ,"Removal of associated wall tiles and associated wall linings, prepare walls ready for installation of new.",Labour,Carpentry,,,,Percentage,M2,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
19f7e87c-6913-4f36-bd05-29c24cf6478a,Water Mitigation ,Carry out water mitigation to minimise extent of damage.,Labour,Restoration,,,,Percentage,M2,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
f3889407-6c5b-43d3-81a7-3c2a8e52838e,Waterproofing / Components,Nominate ie: Waterproofing agent / components / membrane / primer / sealant / water stops etc as required.,Material,Waterproofing,,,,Percentage,M2,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
481347cf-19f2-4703-868b-cbab9879a3cc,Waterproofing - Installation,"Installation of new waterproofing agent, components, incl water stops etc as required.",Labour,Waterproofing,,,,Percentage,M2,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
494e42d0-d949-4c8d-810c-ddae09cfbaf9,Whirly Bird / Roof Vent,"Whirly bird / roof vent, approx 300mm, incl fixings, sealant - (nominate colour).",Material,Roofing,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Metal Roofing & Guttering
32843d87-48c3-4ed3-9914-b656691577b4,Whirly Bird / Roof Vent - Removal / Installation,Removal of associated Whirly Bird / Roof Vent and installation of new.,Labour,Roofing,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Metal Roofing & Guttering
c36f18d1-2346-4cad-a891-ed162d4465b7,Window - Aluminium / Components,"Aluminium window, nominate ie: powdercoated, anodised, sliding, double hung, fixed, awning etc, nominate size, incl reveals, storm moulds, fixings.",Material,Carpentry,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Aluminium Windows and Doors
c4e40ba2-dbae-452d-a117-183eabe950d7,Window - Aluminium - Removal / Installation,"Removal of associated window, reinstallation of existing or replacement if event related damage.",Labour,Carpentry,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Aluminium Windows and Doors
39b7e592-c6bb-4c0b-97e7-67f21576b659,Window - Timber / Components,"Timber window, nominate ie: double hung, fixed, sliding, Cedar, Ash etc, nominate size, whether incl storm moulds, fixings etc, associated to a replacement.",Material,Carpentry,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Timber Windows
15d764f1-0038-46ff-bd5e-3ac60b0eeb56,Window - Timber - Removal / Installation,"Removal of associated timer window, reinstallation of existing or replacement if event related damage.",Labour,Carpentry,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Timber Windows
